Nome,Seeders,Leechers,Tipo
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],452,21,1
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],447,13,1
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],471,21,1
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],378,7,1
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],364,8,1
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],413,16,1
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],350,12,1
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],378,7,1
 Mr.Mercedes.S01E06.HDTV.x264.[Season.1.Episode.6],378,7,1
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],919,83,1
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],671,53,1
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],548,54,1
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],523,39,1
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],547,31,1
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],468,32,1
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],526,45,1
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],350,16,1
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],390,24,1
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],390,24,1
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],390,24,1
 Mr.Mercedes.S01E07.HDTV.x264.[Season.1.Episode.7],347,22,1
 Our.Souls.At.Night.2017.720p.WEBRip.800MB.MkvCage,323,133,1
 Shooter S02E05 HDTV x264-SVA,1197,108,1
 Shooter S02E05 HDTV x264-SVA,1078,100,1
 Shooter S02E05 HDTV x264-SVA,1190,133,1
 Shooter S02E05 HDTV x264-SVA,1094,118,1
 Shooter S02E05 HDTV x264-SVA,912,92,1
 Shooter S02E05 HDTV x264-SVA,908,80,1
 Shooter S02E05 HDTV x264-SVA,789,62,1
 Shooter S02E05 HDTV x264-SVA,680,81,1
 Shooter S02E05 HDTV x264-SVA,771,56,1
